TIME: 03:07:07EPOCHS: 100, K: 1, GENERATOR LOSS: 1.582, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 4.041, DISCRIMINATOR ACCURACY: 0.513, SHAPE: (9994, 11) 
TIME: 03:07:25EPOCHS: 100, K: 1, GENERATOR LOSS: 1.570, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 5.652, DISCRIMINATOR ACCURACY: 0.503, SHAPE: (9994, 11) 
TIME: 03:07:43EPOCHS: 100, K: 1, GENERATOR LOSS: 0.899, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 0.925, DISCRIMINATOR ACCURACY: 0.563, SHAPE: (9994, 11) 
TIME: 03:08:02EPOCHS: 100, K: 1, GENERATOR LOSS: 1.401, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 2.846, DISCRIMINATOR ACCURACY: 0.540, SHAPE: (9994, 11) 
TIME: 03:08:20EPOCHS: 100, K: 1, GENERATOR LOSS: 2.115, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 3.711, DISCRIMINATOR ACCURACY: 0.526, SHAPE: (9994, 11) 
TIME: 03:08:38EPOCHS: 100, K: 1, GENERATOR LOSS: 0.902, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 4.511, DISCRIMINATOR ACCURACY: 0.510, SHAPE: (9994, 11) 
TIME: 03:08:56EPOCHS: 100, K: 1, GENERATOR LOSS: 0.926, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 1.353, DISCRIMINATOR ACCURACY: 0.541, SHAPE: (9994, 11) 
TIME: 03:09:14EPOCHS: 100, K: 1, GENERATOR LOSS: 1.018, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 8.350, DISCRIMINATOR ACCURACY: 0.500, SHAPE: (9994, 11) 
TIME: 03:09:32EPOCHS: 100, K: 1, GENERATOR LOSS: 1.159, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 5.040, DISCRIMINATOR ACCURACY: 0.510, SHAPE: (9994, 11) 
TIME: 03:09:51EPOCHS: 100, K: 1, GENERATOR LOSS: 2.139, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 5.529, DISCRIMINATOR ACCURACY: 0.494, SHAPE: (9994, 11) 
TIME: 03:10:08EPOCHS: 100, K: 1, GENERATOR LOSS: 2.481, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 4.664, DISCRIMINATOR ACCURACY: 0.478, SHAPE: (9994, 11) 
TIME: 03:10:27EPOCHS: 100, K: 1, GENERATOR LOSS: 2.655, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 4.784, DISCRIMINATOR ACCURACY: 0.501, SHAPE: (9994, 11) 
TIME: 03:10:45EPOCHS: 100, K: 1, GENERATOR LOSS: 0.883, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 2.916, DISCRIMINATOR ACCURACY: 0.465, SHAPE: (9994, 11) 
TIME: 03:11:03EPOCHS: 100, K: 1, GENERATOR LOSS: 1.334, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 6.475, DISCRIMINATOR ACCURACY: 0.484, SHAPE: (9994, 11) 
TIME: 03:11:21EPOCHS: 100, K: 1, GENERATOR LOSS: 2.818, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 4.993, DISCRIMINATOR ACCURACY: 0.513, SHAPE: (9994, 11) 
TIME: 03:11:40EPOCHS: 100, K: 1, GENERATOR LOSS: 1.612, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 7.856, DISCRIMINATOR ACCURACY: 0.503, SHAPE: (9994, 11) 
TIME: 03:11:58EPOCHS: 100, K: 1, GENERATOR LOSS: 1.922, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 8.286, DISCRIMINATOR ACCURACY: 0.508, SHAPE: (9994, 11) 
TIME: 03:12:17EPOCHS: 100, K: 1, GENERATOR LOSS: 0.789, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 1.388, DISCRIMINATOR ACCURACY: 0.472, SHAPE: (9994, 11) 
TIME: 03:12:35EPOCHS: 100, K: 1, GENERATOR LOSS: 1.212, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 3.543, DISCRIMINATOR ACCURACY: 0.500, SHAPE: (9994, 11) 
TIME: 03:12:53EPOCHS: 100, K: 1, GENERATOR LOSS: 1.028, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 7.844, DISCRIMINATOR ACCURACY: 0.521, SHAPE: (9994, 11) 
TIME: 03:13:12EPOCHS: 100, K: 1, GENERATOR LOSS: 1.159, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 2.097, DISCRIMINATOR ACCURACY: 0.527, SHAPE: (9994, 11) 
TIME: 03:13:30EPOCHS: 100, K: 1, GENERATOR LOSS: 0.365, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 13.968, DISCRIMINATOR ACCURACY: 0.503, SHAPE: (9994, 11) 
TIME: 03:13:48EPOCHS: 100, K: 1, GENERATOR LOSS: 2.495, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 4.773, DISCRIMINATOR ACCURACY: 0.487, SHAPE: (9994, 11) 
TIME: 03:14:07EPOCHS: 100, K: 1, GENERATOR LOSS: inf, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 7.901, DISCRIMINATOR ACCURACY: 0.501, SHAPE: (9994, 11) 
TIME: 03:14:25EPOCHS: 100, K: 1, GENERATOR LOSS: 1.542, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 1.172, DISCRIMINATOR ACCURACY: 0.588, SHAPE: (9994, 11) 
TIME: 03:14:43EPOCHS: 100, K: 1, GENERATOR LOSS: 1.086, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 3.004, DISCRIMINATOR ACCURACY: 0.533, SHAPE: (9994, 11) 
TIME: 03:15:01EPOCHS: 100, K: 1, GENERATOR LOSS: 1.130, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 5.993, DISCRIMINATOR ACCURACY: 0.515, SHAPE: (9994, 11) 
TIME: 03:15:19EPOCHS: 100, K: 1, GENERATOR LOSS: 1.442, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 1.746, DISCRIMINATOR ACCURACY: 0.542, SHAPE: (9994, 11) 
TIME: 03:15:38EPOCHS: 100, K: 1, GENERATOR LOSS: 3.646, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 6.774, DISCRIMINATOR ACCURACY: 0.484, SHAPE: (9994, 11) 
TIME: 03:15:56EPOCHS: 100, K: 1, GENERATOR LOSS: 2.168, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 4.506, DISCRIMINATOR ACCURACY: 0.500, SHAPE: (9994, 11) 
TIME: 03:16:14EPOCHS: 100, K: 1, GENERATOR LOSS: 2.270, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 5.613, DISCRIMINATOR ACCURACY: 0.497, SHAPE: (9994, 11) 
TIME: 03:16:32EPOCHS: 100, K: 1, GENERATOR LOSS: 0.870, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 1.240, DISCRIMINATOR ACCURACY: 0.552, SHAPE: (9994, 11) 
TIME: 03:16:51EPOCHS: 100, K: 1, GENERATOR LOSS: 1.779, GENERATOR ACCURACY: 0.986, DISCRIMINATOR LOSS: 3.677, DISCRIMINATOR ACCURACY: 0.519, SHAPE: (9994, 11) 
TIME: 03:17:09EPOCHS: 100, K: 1, GENERATOR LOSS: 2.418, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 4.889, DISCRIMINATOR ACCURACY: 0.508, SHAPE: (9994, 11) 
TIME: 03:17:27EPOCHS: 100, K: 1, GENERATOR LOSS: 2.442, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 4.029, DISCRIMINATOR ACCURACY: 0.494, SHAPE: (9994, 11) 
TIME: 03:17:45EPOCHS: 100, K: 1, GENERATOR LOSS: 0.994, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 1.606, DISCRIMINATOR ACCURACY: 0.452, SHAPE: (9994, 11) 
TIME: 03:18:04EPOCHS: 100, K: 1, GENERATOR LOSS: 0.741, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 1.008, DISCRIMINATOR ACCURACY: 0.442, SHAPE: (9994, 11) 
TIME: 03:18:22EPOCHS: 100, K: 1, GENERATOR LOSS: 3.072, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 6.739, DISCRIMINATOR ACCURACY: 0.475, SHAPE: (9994, 11) 
TIME: 03:18:40EPOCHS: 100, K: 1, GENERATOR LOSS: 0.767, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 2.352, DISCRIMINATOR ACCURACY: 0.483, SHAPE: (9994, 11) 
TIME: 03:18:58EPOCHS: 100, K: 1, GENERATOR LOSS: 1.023, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 1.728, DISCRIMINATOR ACCURACY: 0.531, SHAPE: (9994, 11) 
TIME: 03:19:17EPOCHS: 100, K: 1, GENERATOR LOSS: 0.983, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 1.637, DISCRIMINATOR ACCURACY: 0.521, SHAPE: (9994, 11) 
TIME: 03:19:35EPOCHS: 100, K: 1, GENERATOR LOSS: 3.436, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 6.293, DISCRIMINATOR ACCURACY: 0.514, SHAPE: (9994, 11) 
TIME: 03:19:53EPOCHS: 100, K: 1, GENERATOR LOSS: 1.322, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 2.359, DISCRIMINATOR ACCURACY: 0.531, SHAPE: (9994, 11) 
TIME: 03:20:11EPOCHS: 100, K: 1, GENERATOR LOSS: 2.555, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 5.453, DISCRIMINATOR ACCURACY: 0.513, SHAPE: (9994, 11) 
TIME: 03:20:30EPOCHS: 100, K: 1, GENERATOR LOSS: 3.123, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 5.210, DISCRIMINATOR ACCURACY: 0.530, SHAPE: (9994, 11) 
TIME: 03:20:48EPOCHS: 100, K: 1, GENERATOR LOSS: 1.404, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 1.531, DISCRIMINATOR ACCURACY: 0.569, SHAPE: (9994, 11) 
TIME: 03:21:07EPOCHS: 100, K: 1, GENERATOR LOSS: 1.287, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 12.825, DISCRIMINATOR ACCURACY: 0.505, SHAPE: (9994, 11) 
TIME: 03:21:25EPOCHS: 100, K: 1, GENERATOR LOSS: 1.388, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 2.791, DISCRIMINATOR ACCURACY: 0.528, SHAPE: (9994, 11) 
TIME: 03:21:43EPOCHS: 100, K: 1, GENERATOR LOSS: 2.084, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 4.466, DISCRIMINATOR ACCURACY: 0.473, SHAPE: (9994, 11) 
TIME: 03:22:02EPOCHS: 100, K: 1, GENERATOR LOSS: inf, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 8.021, DISCRIMINATOR ACCURACY: 0.502, SHAPE: (9994, 11) 
TIME: 03:22:20EPOCHS: 100, K: 1, GENERATOR LOSS: 1.226, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 1.866, DISCRIMINATOR ACCURACY: 0.506, SHAPE: (9994, 11) 
TIME: 03:22:38EPOCHS: 100, K: 1, GENERATOR LOSS: 1.602, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 4.294, DISCRIMINATOR ACCURACY: 0.514, SHAPE: (9994, 11) 
TIME: 03:22:56EPOCHS: 100, K: 1, GENERATOR LOSS: 1.306, GENERATOR ACCURACY: 0.988, DISCRIMINATOR LOSS: 2.226, DISCRIMINATOR ACCURACY: 0.520, SHAPE: (9994, 11) 
TIME: 03:23:15EPOCHS: 100, K: 1, GENERATOR LOSS: 2.175, GENERATOR ACCURACY: 0.987, DISCRIMINATOR LOSS: 6.643, DISCRIMINATOR ACCURACY: 0.508, SHAPE: (9994, 11) 
