Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,CTGAN,25,0,superstore,random_forest,accuracy,0.9659829914957478
trtr,CTGAN,25,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,25,0,superstore,adaboost,accuracy,0.8289144572286143
tstr,CTGAN,25,0,superstore,random_forest,accuracy,0.9279639819909956
tstr,CTGAN,25,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,25,0,superstore,sdv_eval,quality_score,0.7495660274952851
trtr,CTGAN,25,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,25,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,CTGAN,25,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,25,0,superstore,adaboost,accuracy,0.9029514757378688
tstr,CTGAN,25,0,superstore,random_forest,accuracy,0.9279639819909956
tstr,CTGAN,25,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,25,0,superstore,sdv_eval,quality_score,0.7358051194352975
trtr,GANBLR,50,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,50,0,superstore,random_forest,accuracy,0.9659829914957478
trtr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,0,superstore,adaboost,accuracy,0.91895947973987
tstr,GANBLR,50,0,superstore,random_forest,accuracy,0.952976488244122
tstr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,0,superstore,sdv_eval,quality_score,0.3794113589371514
trtr,GANBLR,50,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,50,0,superstore,random_forest,accuracy,0.9649824912456229
trtr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,0,superstore,adaboost,accuracy,0.9324662331165584
tstr,GANBLR,50,0,superstore,random_forest,accuracy,0.951975987993997
tstr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,0,superstore,sdv_eval,quality_score,0.3776561391383056
trtr,GANBLR,50,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,50,0,superstore,random_forest,accuracy,0.9654827413706852
trtr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,0,superstore,adaboost,accuracy,0.5382691345672836
tstr,GANBLR,50,0,superstore,random_forest,accuracy,0.9534767383691846
tstr,GANBLR,50,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,0,superstore,sdv_eval,quality_score,0.3811309512981696
trtr,GANBLR,50,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,50,1,superstore,random_forest,accuracy,0.9639819909954978
trtr,GANBLR,50,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,50,1,superstore,adaboost,accuracy,0.937968984492246
tstr,GANBLR,50,1,superstore,random_forest,accuracy,0.959479739869935
tstr,GANBLR,50,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,50,1,superstore,sdv_eval,quality_score,0.4331382920661487
trtr,GANBLR,50,1,superstore,adaboost,accuracy,0.9104552276138068
