Event,Model,Epochs,K,Dataset,Test,Metric,Value
tstr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.8121508379888268
tstr,GANBLR,50,0,credit_risk,svm,accuracy,0.8004539106145251
sdv_eval,GANBLR,50,0,credit_risk,sdv_eval,quality_score,0.3750969521318358
trtr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.9162011173184358
trtr,GANBLR,50,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8248952513966481
tstr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.8292597765363129
tstr,GANBLR,50,1,credit_risk,svm,accuracy,0.8214036312849162
sdv_eval,GANBLR,50,1,credit_risk,sdv_eval,quality_score,0.4048284542470589
trtr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.9155027932960894
trtr,GANBLR,50,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8041201117318436
tstr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.8516061452513967
tstr,GANBLR,50,1,credit_risk,svm,accuracy,0.8231494413407822
sdv_eval,GANBLR,50,1,credit_risk,sdv_eval,quality_score,0.4061377709633523
trtr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.9132332402234636
trtr,GANBLR,50,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,1,credit_risk,adaboost,accuracy,0.822800279329609
tstr,GANBLR,50,1,credit_risk,random_forest,accuracy,0.8355446927374302
tstr,GANBLR,50,1,credit_risk,svm,accuracy,0.8241969273743017
sdv_eval,GANBLR,50,1,credit_risk,sdv_eval,quality_score,0.4047838800745777
trtr,CTGAN,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,50,0,credit_risk,random_forest,accuracy,0.9141061452513968
trtr,CTGAN,50,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,50,0,credit_risk,adaboost,accuracy,0.833449720670391
tstr,CTGAN,50,0,credit_risk,random_forest,accuracy,0.8285614525139665
tstr,CTGAN,50,0,credit_risk,svm,accuracy,0.8184357541899442
sdv_eval,CTGAN,50,0,credit_risk,sdv_eval,quality_score,0.8308008060915036
trtr,CTGAN,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,50,0,credit_risk,random_forest,accuracy,0.9141061452513968
trtr,CTGAN,50,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,50,0,credit_risk,adaboost,accuracy,0.7910265363128491
tstr,CTGAN,50,0,credit_risk,random_forest,accuracy,0.7554120111731844
tstr,CTGAN,50,0,credit_risk,svm,accuracy,0.7964385474860335
sdv_eval,CTGAN,50,0,credit_risk,sdv_eval,quality_score,0.7977074590446684
trtr,CTGAN,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,50,0,credit_risk,random_forest,accuracy,0.9149790502793296
trtr,CTGAN,50,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,50,0,credit_risk,adaboost,accuracy,0.8439245810055865
tstr,CTGAN,50,0,credit_risk,random_forest,accuracy,0.8138966480446927
tstr,CTGAN,50,0,credit_risk,svm,accuracy,0.8369413407821229
sdv_eval,CTGAN,50,0,credit_risk,sdv_eval,quality_score,0.849175417489371
trtr,GANBLR,100,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,100,0,credit_risk,random_forest,accuracy,0.9155027932960894
trtr,GANBLR,100,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,100,0,credit_risk,adaboost,accuracy,0.802199720670391
tstr,GANBLR,100,0,credit_risk,random_forest,accuracy,0.7953910614525139
tstr,GANBLR,100,0,credit_risk,svm,accuracy,0.8006284916201117
sdv_eval,GANBLR,100,0,credit_risk,sdv_eval,quality_score,0.3601529648041276
trtr,GANBLR,100,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,100,0,credit_risk,random_forest,accuracy,0.9153282122905028
trtr,GANBLR,100,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,100,0,credit_risk,adaboost,accuracy,0.866445530726257
tstr,GANBLR,100,0,credit_risk,random_forest,accuracy,0.8203561452513967
tstr,GANBLR,100,0,credit_risk,svm,accuracy,0.8308310055865922
sdv_eval,GANBLR,100,0,credit_risk,sdv_eval,quality_score,0.3522669074994657
trtr,GANBLR,100,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,100,0,credit_risk,random_forest,accuracy,0.9134078212290504
trtr,GANBLR,100,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,100,0,credit_risk,adaboost,accuracy,0.835195530726257
tstr,GANBLR,100,0,credit_risk,random_forest,accuracy,0.7967877094972067
tstr,GANBLR,100,0,credit_risk,svm,accuracy,0.8283868715083799
sdv_eval,GANBLR,100,0,credit_risk,sdv_eval,quality_score,0.3554115690743598
trtr,GANBLR,100,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,100,1,credit_risk,random_forest,accuracy,0.9158519553072626
trtr,GANBLR,100,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,100,1,credit_risk,adaboost,accuracy,0.755586592178771
tstr,GANBLR,100,1,credit_risk,random_forest,accuracy,0.8280377094972067
tstr,GANBLR,100,1,credit_risk,svm,accuracy,0.8131983240223464
sdv_eval,GANBLR,100,1,credit_risk,sdv_eval,quality_score,0.3595779976593931
trtr,GANBLR,100,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,100,1,credit_risk,random_forest,accuracy,0.9153282122905028
trtr,GANBLR,100,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,100,1,credit_risk,adaboost,accuracy,0.7557611731843575
tstr,GANBLR,100,1,credit_risk,random_forest,accuracy,0.8158170391061452
tstr,GANBLR,100,1,credit_risk,svm,accuracy,0.821054469273743
sdv_eval,GANBLR,100,1,credit_risk,sdv_eval,quality_score,0.3593339639851267
trtr,GANBLR,100,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,100,1,credit_risk,random_forest,accuracy,0.915677374301676
trtr,GANBLR,100,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,100,1,credit_risk,adaboost,accuracy,0.7417946927374302
tstr,GANBLR,100,1,credit_risk,random_forest,accuracy,0.8224511173184358
tstr,GANBLR,100,1,credit_risk,svm,accuracy,0.8186103351955307
sdv_eval,GANBLR,100,1,credit_risk,sdv_eval,quality_score,0.3619572267828082
trtr,CTGAN,100,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,100,0,credit_risk,random_forest,accuracy,0.9149790502793296
trtr,CTGAN,100,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,100,0,credit_risk,adaboost,accuracy,0.8458449720670391
tstr,CTGAN,100,0,credit_risk,random_forest,accuracy,0.8268156424581006
tstr,CTGAN,100,0,credit_risk,svm,accuracy,0.8474162011173184
sdv_eval,CTGAN,100,0,credit_risk,sdv_eval,quality_score,0.8393840457793946
trtr,CTGAN,100,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,100,0,credit_risk,random_forest,accuracy,0.9141061452513968
trtr,CTGAN,100,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,100,0,credit_risk,adaboost,accuracy,0.8620810055865922
tstr,CTGAN,100,0,credit_risk,random_forest,accuracy,0.8331005586592178
tstr,CTGAN,100,0,credit_risk,svm,accuracy,0.8550977653631285
sdv_eval,CTGAN,100,0,credit_risk,sdv_eval,quality_score,0.8542678513608748
trtr,CTGAN,100,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,100,0,credit_risk,random_forest,accuracy,0.9146298882681564
trtr,CTGAN,100,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,100,0,credit_risk,adaboost,accuracy,0.8624301675977654
tstr,CTGAN,100,0,credit_risk,random_forest,accuracy,0.8367667597765364
tstr,CTGAN,100,0,credit_risk,svm,accuracy,0.8537011173184358
sdv_eval,CTGAN,100,0,credit_risk,sdv_eval,quality_score,0.8340553820204983
trtr,GANBLR,150,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,150,0,credit_risk,random_forest,accuracy,0.9146298882681564
trtr,GANBLR,150,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,150,0,credit_risk,adaboost,accuracy,0.8376396648044693
tstr,GANBLR,150,0,credit_risk,random_forest,accuracy,0.8023743016759777
tstr,GANBLR,150,0,credit_risk,svm,accuracy,0.8177374301675978
sdv_eval,GANBLR,150,0,credit_risk,sdv_eval,quality_score,0.3432606761095133
trtr,GANBLR,150,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,150,0,credit_risk,random_forest,accuracy,0.9149790502793296
trtr,GANBLR,150,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,150,0,credit_risk,adaboost,accuracy,0.7952164804469274
tstr,GANBLR,150,0,credit_risk,random_forest,accuracy,0.784217877094972
tstr,GANBLR,150,0,credit_risk,svm,accuracy,0.7981843575418994
sdv_eval,GANBLR,150,0,credit_risk,sdv_eval,quality_score,0.3483696434277829
trtr,GANBLR,150,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,150,0,credit_risk,random_forest,accuracy,0.9158519553072626
trtr,GANBLR,150,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,150,0,credit_risk,adaboost,accuracy,0.8603351955307262
tstr,GANBLR,150,0,credit_risk,random_forest,accuracy,0.8170391061452514
tstr,GANBLR,150,0,credit_risk,svm,accuracy,0.8196578212290503
sdv_eval,GANBLR,150,0,credit_risk,sdv_eval,quality_score,0.3490559798699334
trtr,GANBLR,150,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,150,1,credit_risk,random_forest,accuracy,0.914804469273743
trtr,GANBLR,150,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,150,1,credit_risk,adaboost,accuracy,0.8006284916201117
tstr,GANBLR,150,1,credit_risk,random_forest,accuracy,0.8261173184357542
tstr,GANBLR,150,1,credit_risk,svm,accuracy,0.7920740223463687
sdv_eval,GANBLR,150,1,credit_risk,sdv_eval,quality_score,0.3364649004183888
trtr,GANBLR,150,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,150,1,credit_risk,random_forest,accuracy,0.916550279329609
